Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device,Plan Duration
Basic,12,2022-11-02,Germany,33,Male,Laptop,1 Month
Premium,10,2022-10-06,France,32,Female,Smart TV,1 Month
Basic,15,2022-09-16,Brazil,40,Male,Smartphone,1 Month
Standard,14,2022-09-10,Mexico,40,Female,Laptop,1 Month
Standard,12,2022-09-04,Spain,51,Female,Tablet,1 Month
Basic,13,2022-08-26,Italy,50,Male,Smart TV,1 Month
Premium,14,2022-08-14,Spain,50,Female,Smart TV,1 Month
Basic,14,2022-08-12,Spain,47,Male,Smartphone,1 Month
Standard,12,2022-08-10,United States,35,Male,Laptop,1 Month
Premium,11,2022-08-10,Canada,31,Male,Tablet,1 Month
Basic,15,2022-08-04,United States,36,Male,Smartphone,1 Month
Premium,10,2022-08-05,United States,41,Female,Smart TV,1 Month
Basic,13,2022-07-17,Canada,49,Female,Tablet,1 Month
Standard,12,2022-07-16,United Kingdom,34,Female,Tablet,1 Month
Standard,15,2022-07-13,Australia,30,Female,Tablet,1 Month
Basic,13,2022-07-03,Germany,38,Male,Laptop,1 Month
Premium,11,2022-06-24,France,45,Male,Tablet,1 Month
Basic,14,2022-06-21,Brazil,42,Female,Laptop,1 Month
Standard,10,2022-06-22,Mexico,42,Female,Smart TV,1 Month
Premium,10,2022-06-23,Spain,31,Male,Smart TV,1 Month
Basic,14,2022-06-26,Italy,28,Male,Smart TV,1 Month
Premium,11,2022-06-27,Spain,44,Male,Tablet,1 Month
Basic,13,2022-06-28,Spain,30,Male,Smart TV,1 Month
Standard,13,2022-06-28,United States,33,Male,Smartphone,1 Month
Standard,12,2022-06-18,Canada,42,Female,Tablet,1 Month
Basic,11,2022-06-11,United States,31,Male,Smart TV,1 Month
Premium,11,2022-06-11,United States,31,Female,Smartphone,1 Month
Basic,13,2022-06-12,Canada,46,Female,Smart TV,1 Month
Standard,15,2022-06-13,United Kingdom,28,Female,Tablet,1 Month
Premium,11,2022-06-13,Australia,50,Male,Tablet,1 Month
Basic,11,2022-06-18,Germany,34,Male,Tablet,1 Month
Premium,15,2022-06-23,France,45,Female,Smart TV,1 Month
Basic,12,2022-06-26,Brazil,38,Female,Laptop,1 Month
Standard,13,2022-06-29,Mexico,42,Female,Laptop,1 Month
Standard,10,2022-07-02,Spain,45,Female,Smartphone,1 Month
Basic,10,2022-07-06,Italy,44,Male,Smart TV,1 Month
Premium,14,2022-07-18,Spain,50,Female,Smart TV,1 Month
Basic,15,2022-07-29,Spain,38,Male,Tablet,1 Month
Standard,13,2022-07-30,United States,42,Female,Smart TV,1 Month
Premium,13,2022-08-03,Canada,50,Male,Smart TV,1 Month
Basic,10,2022-08-15,United States,30,Male,Smartphone,1 Month
Basic,10,2022-08-20,United States,47,Female,Smartphone,1 Month
Basic,14,2022-08-21,Canada,32,Female,Laptop,1 Month
Standard,11,2022-08-30,United Kingdom,31,Female,Tablet,1 Month
Premium,15,2022-09-01,Australia,37,Male,Laptop,1 Month
Basic,14,2022-09-02,Germany,32,Female,Smartphone,1 Month
Basic,12,2022-09-04,France,29,Male,Smartphone,1 Month
Premium,12,2022-09-10,Brazil,28,Male,Tablet,1 Month
Standard,11,2022-09-25,Mexico,42,Male,Laptop,1 Month
Standard,12,2022-09-27,Spain,37,Male,Tablet,1 Month
Basic,13,2022-10-01,Italy,38,Female,Laptop,1 Month
Premium,13,2022-10-06,Spain,32,Male,Smart TV,1 Month
Standard,15,2022-10-07,Spain,48,Male,Laptop,1 Month
Basic,13,2022-10-08,United States,46,Female,Smart TV,1 Month
Standard,14,2022-10-08,Canada,30,Male,Tablet,1 Month
Premium,10,2022-10-08,United States,40,Female,Smart TV,1 Month
Basic,13,2022-10-08,United States,29,Male,Smart TV,1 Month
Premium,15,2022-10-08,Canada,41,Male,Tablet,1 Month
Standard,15,2022-10-10,United Kingdom,32,Male,Laptop,1 Month
Basic,12,2022-10-19,Australia,44,Female,Smart TV,1 Month
Standard,15,2022-10-20,Germany,41,Male,Laptop,1 Month
Premium,12,2022-10-26,France,50,Female,Smartphone,1 Month
Basic,14,2022-10-29,Brazil,33,Female,Tablet,1 Month
Standard,10,2022-10-31,Mexico,34,Female,Smart TV,1 Month
Premium,15,2022-11-11,Spain,40,Male,Smartphone,1 Month
Basic,14,2022-11-09,Italy,34,Female,Tablet,1 Month
Premium,14,2022-11-09,Spain,27,Female,Smart TV,1 Month
Basic,13,2022-11-07,Spain,34,Male,Tablet,1 Month
Standard,13,2022-11-08,United States,28,Male,Tablet,1 Month
Standard,14,2022-11-05,Canada,37,Female,Smart TV,1 Month
Basic,10,2022-10-25,United States,27,Female,Laptop,1 Month
Premium,13,2022-10-23,United States,33,Female,Laptop,1 Month
Basic,11,2022-10-20,Canada,42,Male,Laptop,1 Month
Standard,11,2022-10-14,United Kingdom,49,Male,Smartphone,1 Month
Premium,13,2022-08-29,Australia,44,Male,Smart TV,1 Month
Basic,10,2022-08-18,Germany,47,Male,Laptop,1 Month
Premium,13,2022-08-13,France,33,Male,Laptop,1 Month
Basic,11,2022-08-11,Brazil,37,Male,Smart TV,1 Month
Standard,10,2022-08-11,Mexico,35,Male,Laptop,1 Month
Standard,11,2022-08-06,Spain,34,Female,Smartphone,1 Month
Basic,10,2022-08-07,Italy,44,Male,Smartphone,1 Month
Premium,15,2022-07-18,Spain,29,Male,Tablet,1 Month
Basic,10,2022-07-17,Spain,38,Male,Smartphone,1 Month
Standard,14,2022-07-15,United States,46,Male,Smart TV,1 Month
Premium,10,2022-07-14,Canada,29,Male,Tablet,1 Month
Basic,12,2022-06-26,United States,48,Female,Smart TV,1 Month
Premium,10,2022-06-26,United States,36,Male,Smart TV,1 Month
Basic,12,2022-06-22,Canada,43,Male,Laptop,1 Month
Standard,15,2022-06-23,United Kingdom,42,Female,Smart TV,1 Month
Standard,10,2022-06-24,Australia,50,Male,Tablet,1 Month
Basic,13,2022-06-26,Germany,39,Male,Laptop,1 Month
Premium,14,2022-06-28,France,43,Female,Laptop,1 Month
Basic,10,2022-06-29,Brazil,50,Female,Tablet,1 Month
Standard,12,2022-06-26,Mexico,51,Male,Laptop,1 Month
Premium,14,2022-06-26,Spain,40,Male,Tablet,1 Month
Basic,10,2022-06-20,Italy,31,Male,Tablet,1 Month
Premium,12,2022-06-18,Spain,39,Female,Smartphone,1 Month
Basic,10,2022-06-16,Spain,49,Female,Tablet,1 Month
Standard,10,2022-06-16,United States,34,Female,Laptop,1 Month
Standard,13,2022-06-17,Canada,38,Male,Smartphone,1 Month
Basic,15,2022-06-20,United States,36,Female,Laptop,1 Month
Premium,10,2022-06-24,United States,42,Female,Smart TV,1 Month
Basic,14,2022-06-27,Canada,50,Male,Tablet,1 Month
Standard,10,2022-07-02,United Kingdom,42,Female,Laptop,1 Month
Premium,14,2022-07-04,Australia,35,Female,Laptop,1 Month
Basic,15,2022-07-15,Germany,46,Female,Tablet,1 Month
Premium,15,2022-07-23,France,48,Male,Laptop,1 Month
Basic,12,2022-07-29,Brazil,43,Female,Laptop,1 Month
Standard,13,2022-08-01,Mexico,51,Female,Tablet,1 Month
Standard,13,2022-08-12,Spain,45,Male,Smart TV,1 Month
Basic,10,2022-08-14,Italy,46,Male,Laptop,1 Month
Premium,12,2022-08-16,Spain,42,Female,Laptop,1 Month
Basic,10,2022-08-26,Spain,42,Female,Smartphone,1 Month
Standard,13,2022-08-31,United States,50,Male,Tablet,1 Month
Premium,12,2022-09-02,Canada,28,Male,Smart TV,1 Month
Basic,15,2022-09-03,United States,44,Female,Tablet,1 Month
Basic,10,2022-09-05,United States,36,Male,Tablet,1 Month
Basic,14,2022-09-10,Canada,37,Female,Laptop,1 Month
Standard,12,2022-09-17,United Kingdom,36,Male,Smartphone,1 Month
Premium,13,2022-09-28,Australia,31,Male,Smartphone,1 Month
Basic,12,2022-10-02,Germany,36,Female,Smart TV,1 Month
Basic,15,2022-10-05,France,39,Female,Laptop,1 Month
Premium,11,2022-10-07,Brazil,45,Female,Laptop,1 Month
Standard,13,2022-10-08,Mexico,29,Male,Smart TV,1 Month
Standard,15,2022-10-08,Spain,45,Male,Smartphone,1 Month
Basic,11,2022-10-09,Italy,29,Male,Smart TV,1 Month
Premium,10,2022-10-09,Spain,28,Female,Smart TV,1 Month
Standard,12,2022-10-10,Spain,42,Female,Smart TV,1 Month
Basic,11,2022-10-14,United States,36,Female,Smartphone,1 Month
Standard,15,2022-10-16,Canada,39,Male,Smart TV,1 Month
Premium,11,2022-10-21,United States,36,Male,Smart TV,1 Month
Basic,15,2022-10-25,United States,49,Male,Laptop,1 Month
Premium,11,2022-10-30,Canada,32,Female,Tablet,1 Month
Standard,12,2022-10-31,United Kingdom,40,Female,Smartphone,1 Month
Basic,12,2022-11-08,Australia,34,Male,Smartphone,1 Month
Standard,15,2022-11-09,Germany,35,Male,Smartphone,1 Month
Premium,11,2022-11-07,France,44,Female,Smart TV,1 Month
Basic,13,2022-11-08,Brazil,47,Female,Smartphone,1 Month
Standard,14,2022-11-08,Mexico,33,Female,Laptop,1 Month
Premium,11,2022-10-31,Spain,45,Male,Tablet,1 Month
Basic,14,2022-10-28,Italy,42,Female,Tablet,1 Month
Premium,15,2022-10-25,Spain,46,Male,Tablet,1 Month
Basic,14,2022-10-18,Spain,51,Male,Tablet,1 Month
Standard,15,2022-09-25,United States,41,Female,Laptop,1 Month
Standard,10,2022-08-26,Canada,50,Female,Tablet,1 Month
Basic,10,2022-08-20,United States,49,Female,Smartphone,1 Month
Premium,12,2022-08-12,United States,34,Female,Laptop,1 Month
Basic,13,2022-08-12,Canada,38,Female,Tablet,1 Month
Standard,13,2022-08-11,United Kingdom,46,Male,Smart TV,1 Month
Premium,14,2022-08-11,Australia,42,Male,Smart TV,1 Month
Basic,12,2022-08-10,Germany,46,Male,Laptop,1 Month
Premium,10,2022-07-31,France,51,Female,Smart TV,1 Month
Basic,12,2022-07-17,Brazil,35,Male,Smart TV,1 Month
Standard,10,2022-07-15,Mexico,34,Female,Smartphone,1 Month
Standard,14,2022-07-05,Spain,31,Female,Laptop,1 Month
Basic,12,2022-07-01,Italy,36,Female,Tablet,1 Month
Premium,15,2022-07-01,Spain,28,Male,Smart TV,1 Month
Basic,15,2022-06-26,Spain,29,Female,Smartphone,1 Month
Standard,12,2022-06-27,United States,42,Female,Smart TV,1 Month
Premium,10,2022-06-28,Canada,35,Female,Smartphone,1 Month
Basic,12,2022-06-28,United States,32,Female,Laptop,1 Month
Premium,10,2022-06-29,United States,43,Female,Tablet,1 Month
Basic,10,2022-06-26,Canada,29,Male,Smartphone,1 Month
Standard,13,2022-06-26,United Kingdom,35,Female,Tablet,1 Month
Standard,14,2022-06-24,Australia,27,Female,Tablet,1 Month
Basic,13,2022-06-21,Germany,38,Male,Tablet,1 Month
Premium,13,2022-06-22,France,33,Male,Smart TV,1 Month
Basic,11,2022-06-18,Brazil,48,Male,Laptop,1 Month
Standard,10,2022-06-18,Mexico,51,Female,Laptop,1 Month
Premium,10,2022-06-20,Spain,40,Female,Smartphone,1 Month
Basic,13,2022-06-23,Italy,28,Male,Smartphone,1 Month
Premium,10,2022-06-26,Spain,46,Female,Laptop,1 Month
Basic,12,2022-07-02,Spain,28,Female,Tablet,1 Month
Standard,12,2022-07-04,United States,47,Male,Tablet,1 Month
Standard,10,2022-07-07,Canada,47,Male,Smartphone,1 Month
Basic,13,2022-07-14,United States,50,Male,Smartphone,1 Month
Premium,13,2022-07-20,United States,50,Female,Smart TV,1 Month
Basic,15,2022-07-23,Canada,29,Male,Smartphone,1 Month
Standard,15,2022-07-30,United Kingdom,38,Male,Tablet,1 Month
Premium,11,2022-08-12,Australia,40,Female,Tablet,1 Month
Basic,14,2022-08-14,Germany,43,Male,Smartphone,1 Month
Premium,14,2022-08-22,France,27,Female,Smartphone,1 Month
Basic,10,2022-08-29,Brazil,37,Female,Tablet,1 Month
Standard,12,2022-09-02,Mexico,30,Male,Smartphone,1 Month
Standard,13,2022-09-03,Spain,50,Male,Laptop,1 Month
Basic,11,2022-09-04,Italy,51,Male,Smartphone,1 Month
Premium,13,2022-09-06,Spain,37,Female,Laptop,1 Month
Basic,14,2022-09-10,Spain,35,Female,Tablet,1 Month
Standard,12,2022-09-20,United States,35,Male,Tablet,1 Month
Premium,11,2022-09-26,Canada,46,Male,Tablet,1 Month
Basic,13,2022-10-04,United States,27,Male,Tablet,1 Month
Basic,13,2022-10-06,United States,27,Male,Laptop,1 Month
Basic,13,2022-10-07,Canada,39,Female,Laptop,1 Month
Standard,15,2022-10-08,United Kingdom,51,Male,Tablet,1 Month
Premium,14,2022-10-09,Australia,41,Male,Smartphone,1 Month
Basic,15,2022-10-10,Germany,30,Female,Smart TV,1 Month
Basic,11,2022-10-10,France,46,Male,Laptop,1 Month
Premium,14,2022-10-14,Brazil,31,Male,Tablet,1 Month
Standard,13,2022-10-15,Mexico,49,Male,Smartphone,1 Month
Standard,12,2022-10-17,Spain,39,Female,Tablet,1 Month
Basic,11,2022-10-23,Italy,47,Male,Smartphone,1 Month
Premium,15,2022-10-27,Spain,36,Female,Tablet,1 Month
Standard,14,2022-10-29,Spain,42,Female,Tablet,1 Month
Basic,15,2022-11-05,United States,28,Female,Smart TV,1 Month
Standard,15,2022-11-07,Canada,43,Male,Tablet,1 Month
Premium,10,2022-11-08,United States,50,Female,Laptop,1 Month
Basic,15,2022-11-09,United States,30,Female,Tablet,1 Month
Premium,10,2022-11-10,Canada,34,Female,Laptop,1 Month
Standard,13,2022-11-02,United Kingdom,35,Female,Laptop,1 Month
Basic,11,2022-10-31,Australia,29,Male,Tablet,1 Month
Standard,15,2022-10-29,Germany,33,Male,Smart TV,1 Month
Premium,12,2022-10-22,France,47,Male,Laptop,1 Month
Basic,14,2022-10-20,Brazil,32,Female,Tablet,1 Month
Standard,15,2022-10-21,Mexico,34,Female,Tablet,1 Month
Premium,13,2022-10-10,Spain,46,Male,Smart TV,1 Month
Basic,15,2022-09-06,Italy,31,Male,Tablet,1 Month
Premium,12,2022-09-06,Spain,40,Female,Tablet,1 Month
Basic,11,2022-08-13,Spain,38,Female,Tablet,1 Month
Standard,11,2022-08-13,United States,31,Male,Smart TV,1 Month
Standard,12,2022-08-13,Canada,46,Female,Smartphone,1 Month
Basic,11,2022-08-06,United States,43,Male,Smart TV,1 Month
Premium,15,2022-08-06,United States,38,Female,Laptop,1 Month
Basic,15,2022-07-22,Canada,38,Female,Laptop,1 Month
Standard,14,2022-07-17,United Kingdom,27,Male,Laptop,1 Month
Premium,12,2022-07-09,Australia,49,Female,Tablet,1 Month
Basic,11,2022-07-04,Germany,33,Male,Smartphone,1 Month
Premium,10,2022-06-27,France,40,Female,Smartphone,1 Month
Basic,13,2022-06-28,Brazil,27,Male,Tablet,1 Month
Standard,12,2022-06-28,Mexico,28,Female,Laptop,1 Month
Standard,10,2022-06-29,Spain,30,Male,Smartphone,1 Month
Basic,10,2022-06-29,Italy,33,Female,Smartphone,1 Month
Premium,15,2022-06-26,Spain,51,Female,Tablet,1 Month
Basic,11,2022-06-26,Spain,51,Male,Tablet,1 Month
Standard,10,2022-06-26,United States,50,Female,Smartphone,1 Month
Premium,14,2022-06-24,Canada,46,Female,Tablet,1 Month
Basic,14,2022-06-25,United States,31,Male,Smart TV,1 Month
Premium,12,2022-06-20,United States,46,Female,Smartphone,1 Month
Basic,15,2022-06-21,Canada,41,Male,Smart TV,1 Month
Standard,12,2022-06-20,United Kingdom,36,Male,Smartphone,1 Month
Standard,10,2022-06-22,Australia,45,Female,Tablet,1 Month
Basic,10,2022-06-24,Germany,36,Male,Smartphone,1 Month
Premium,15,2022-06-30,France,28,Male,Smartphone,1 Month
Basic,13,2022-07-03,Brazil,45,Female,Smartphone,1 Month
Standard,10,2022-07-04,Mexico,39,Female,Smartphone,1 Month
Premium,13,2022-07-08,Spain,51,Female,Laptop,1 Month
Basic,10,2022-07-19,Italy,37,Male,Laptop,1 Month
Premium,11,2022-07-21,Spain,33,Female,Tablet,1 Month
Basic,15,2022-07-27,Spain,32,Female,Smartphone,1 Month
Standard,14,2022-08-02,United States,49,Female,Tablet,1 Month
Standard,10,2022-08-09,Canada,37,Female,Smart TV,1 Month
Basic,15,2022-08-21,United States,39,Male,Tablet,1 Month
Premium,14,2022-08-29,United States,37,Male,Smart TV,1 Month
Basic,15,2022-08-31,Canada,36,Female,Smart TV,1 Month
Standard,10,2022-09-02,United Kingdom,34,Male,Laptop,1 Month
Premium,13,2022-09-04,Australia,51,Female,Smartphone,1 Month
Basic,13,2022-09-05,Germany,41,Female,Tablet,1 Month
Premium,13,2022-09-10,France,51,Male,Smart TV,1 Month
Basic,15,2022-09-13,Brazil,31,Female,Tablet,1 Month
Standard,13,2022-09-20,Mexico,44,Male,Laptop,1 Month
Standard,15,2022-10-01,Spain,50,Male,Smart TV,1 Month
Basic,14,2022-10-03,Italy,33,Male,Laptop,1 Month
Premium,11,2022-10-06,Spain,44,Female,Laptop,1 Month
Basic,15,2022-10-08,Spain,42,Female,Tablet,1 Month
Standard,13,2022-10-09,United States,35,Male,Smart TV,1 Month
Premium,12,2022-10-10,Canada,48,Male,Smartphone,1 Month
Basic,13,2022-10-10,United States,51,Female,Smartphone,1 Month
Basic,15,2022-10-12,United States,44,Female,Smart TV,1 Month
Basic,11,2022-10-14,Canada,37,Female,Smartphone,1 Month
Standard,15,2022-10-15,United Kingdom,35,Female,Laptop,1 Month
Premium,11,2022-10-17,Australia,32,Male,Laptop,1 Month
Basic,15,2022-10-19,Germany,46,Female,Tablet,1 Month
Basic,14,2022-10-25,France,39,Female,Laptop,1 Month
Premium,11,2022-10-26,Brazil,33,Female,Tablet,1 Month
Standard,10,2022-11-05,Mexico,42,Male,Tablet,1 Month
Standard,14,2022-11-07,Spain,37,Female,Smartphone,1 Month
Basic,14,2022-11-08,Italy,27,Female,Smart TV,1 Month
Premium,14,2022-11-09,Spain,34,Female,Laptop,1 Month
Standard,13,2022-11-06,Spain,51,Male,Laptop,1 Month
Basic,12,2022-11-04,United States,42,Male,Laptop,1 Month
Standard,13,2022-11-03,Canada,46,Female,Smart TV,1 Month
Premium,13,2022-10-23,United States,36,Male,Laptop,1 Month
Basic,14,2022-10-24,United States,46,Male,Smartphone,1 Month
Premium,13,2022-10-23,Canada,51,Male,Smart TV,1 Month
Standard,12,2022-10-21,United Kingdom,45,Female,Smartphone,1 Month
Basic,14,2022-09-11,Australia,33,Male,Smartphone,1 Month
Standard,10,2022-09-09,Germany,31,Female,Smart TV,1 Month
Premium,12,2022-08-22,France,48,Female,Smart TV,1 Month
Basic,13,2022-08-21,Brazil,47,Female,Laptop,1 Month
Standard,13,2022-08-15,Mexico,43,Male,Smart TV,1 Month
Premium,14,2022-08-14,Spain,39,Male,Tablet,1 Month
Basic,11,2022-08-09,Italy,46,Male,Smart TV,1 Month
Premium,12,2022-08-04,Spain,46,Female,Smartphone,1 Month
Basic,11,2022-07-27,Spain,40,Female,Tablet,1 Month
Standard,12,2022-07-11,United States,38,Male,Smartphone,1 Month
Standard,13,2022-07-09,Canada,48,Female,Tablet,1 Month
Basic,15,2022-07-01,United States,38,Male,Tablet,1 Month
Premium,12,2022-06-30,United States,43,Male,Laptop,1 Month
Basic,11,2022-06-29,Canada,29,Male,Smartphone,1 Month
Standard,15,2022-06-29,United Kingdom,32,Female,Laptop,1 Month
Premium,10,2022-06-30,Australia,32,Female,Laptop,1 Month
Basic,10,2022-06-30,Germany,49,Female,Laptop,1 Month
Premium,14,2022-06-26,France,51,Female,Laptop,1 Month
Basic,14,2022-06-27,Brazil,32,Male,Smart TV,1 Month
Standard,12,2022-06-25,Mexico,35,Female,Smart TV,1 Month
Standard,15,2022-06-25,Spain,41,Male,Laptop,1 Month
Basic,12,2022-06-20,Italy,43,Female,Smart TV,1 Month
Premium,12,2022-06-21,Spain,41,Male,Smartphone,1 Month
Basic,10,2022-06-21,Spain,51,Male,Smart TV,1 Month
Standard,13,2022-06-22,United States,47,Female,Smart TV,1 Month
Premium,15,2022-06-23,Canada,39,Male,Smart TV,1 Month
Basic,15,2022-06-27,United States,51,Male,Smartphone,1 Month
Premium,13,2022-07-02,United States,39,Female,Tablet,1 Month
Basic,12,2022-07-03,Canada,45,Male,Tablet,1 Month
Standard,13,2022-07-05,United Kingdom,42,Male,Laptop,1 Month
Standard,13,2022-07-15,Australia,48,Male,Smartphone,1 Month
Basic,11,2022-07-20,Germany,33,Male,Smart TV,1 Month
Premium,14,2022-07-27,France,47,Female,Smartphone,1 Month
Basic,11,2022-07-29,Brazil,51,Female,Smart TV,1 Month
Standard,11,2022-08-03,Mexico,27,Male,Smartphone,1 Month
Premium,11,2022-08-18,Spain,44,Female,Laptop,1 Month
Basic,12,2022-08-23,Italy,41,Male,Laptop,1 Month
Premium,11,2022-08-27,Spain,37,Male,Smart TV,1 Month
Basic,15,2022-09-01,Spain,48,Male,Tablet,1 Month
Standard,12,2022-09-03,United States,30,Male,Smart TV,1 Month
Standard,14,2022-09-05,Canada,44,Female,Smartphone,1 Month
Basic,14,2022-09-09,United States,34,Female,Smart TV,1 Month
Premium,15,2022-09-11,United States,40,Female,Laptop,1 Month
Basic,14,2022-09-17,Canada,28,Female,Smartphone,1 Month
Standard,15,2022-09-19,United Kingdom,44,Female,Tablet,1 Month
Premium,13,2022-09-28,Australia,38,Female,Laptop,1 Month
Basic,14,2022-10-06,Germany,49,Male,Smart TV,1 Month
Premium,13,2022-10-07,France,32,Female,Smart TV,1 Month
Basic,14,2022-10-09,Brazil,47,Female,Smart TV,1 Month
Standard,10,2022-10-10,Mexico,44,Male,Tablet,1 Month
Standard,12,2022-10-11,Spain,33,Male,Smartphone,1 Month
Basic,15,2022-10-12,Italy,32,Male,Laptop,1 Month
Premium,12,2022-10-13,Spain,27,Female,Smartphone,1 Month
Basic,11,2022-10-14,Spain,37,Male,Laptop,1 Month
Standard,14,2022-10-16,United States,34,Male,Tablet,1 Month
Premium,15,2022-10-19,Canada,40,Male,Smart TV,1 Month
Basic,12,2022-10-23,United States,45,Female,Smart TV,1 Month
Basic,13,2022-10-24,United States,29,Female,Tablet,1 Month
Basic,14,2022-10-25,Canada,35,Male,Smart TV,1 Month
Standard,10,2022-11-01,United Kingdom,38,Female,Laptop,1 Month
Premium,11,2022-11-02,Australia,48,Female,Smart TV,1 Month
Basic,12,2022-11-04,Germany,36,Male,Smartphone,1 Month
Basic,10,2022-11-06,France,41,Male,Smart TV,1 Month
Premium,15,2022-11-06,Brazil,27,Male,Smart TV,1 Month
Standard,12,2022-11-04,Mexico,41,Male,Smart TV,1 Month
Standard,13,2022-10-30,Spain,42,Male,Laptop,1 Month
Basic,12,2022-10-27,Italy,40,Female,Laptop,1 Month
Premium,13,2022-10-23,Spain,32,Male,Smart TV,1 Month
Standard,12,2022-10-23,Spain,33,Male,Smart TV,1 Month
Basic,11,2022-09-24,United States,34,Male,Smartphone,1 Month
Standard,11,2022-09-22,Canada,29,Male,Tablet,1 Month
Premium,14,2022-09-06,United States,50,Male,Smart TV,1 Month
Basic,10,2022-08-23,United States,29,Female,Laptop,1 Month
Premium,13,2022-08-21,Canada,40,Female,Tablet,1 Month
Standard,10,2022-08-16,United Kingdom,27,Male,Smart TV,1 Month
Basic,10,2022-08-09,Australia,51,Female,Smartphone,1 Month
Standard,13,2022-08-04,Germany,41,Female,Laptop,1 Month
Premium,15,2022-07-28,France,28,Female,Tablet,1 Month
Basic,12,2022-07-12,Brazil,42,Male,Laptop,1 Month
Standard,13,2022-07-11,Mexico,40,Male,Laptop,1 Month
Premium,12,2022-07-06,Spain,48,Female,Smartphone,1 Month
Basic,13,2022-07-01,Italy,28,Male,Smart TV,1 Month
Premium,15,2022-07-02,Spain,40,Male,Smart TV,1 Month
Basic,15,2022-06-30,Spain,33,Female,Tablet,1 Month
Standard,12,2022-06-30,United States,33,Male,Smartphone,1 Month
Standard,15,2022-06-30,Canada,47,Female,Smartphone,1 Month
Basic,13,2022-06-30,United States,50,Female,Smart TV,1 Month
Premium,15,2022-06-29,United States,38,Male,Smartphone,1 Month
Basic,15,2022-06-27,Canada,36,Female,Tablet,1 Month
Standard,15,2022-06-26,United Kingdom,38,Female,Tablet,1 Month
Premium,12,2022-06-24,Australia,49,Male,Smartphone,1 Month
Basic,12,2022-06-25,Germany,40,Female,Smart TV,1 Month
Premium,13,2022-06-24,France,51,Male,Tablet,1 Month
Basic,11,2022-06-22,Brazil,42,Female,Smartphone,1 Month
Standard,13,2022-06-23,Mexico,41,Female,Smartphone,1 Month
Standard,12,2022-06-25,Spain,48,Female,Smartphone,1 Month
Basic,13,2022-06-29,Italy,39,Female,Tablet,1 Month
Premium,15,2022-07-01,Spain,35,Female,Tablet,1 Month
Basic,11,2022-07-05,Spain,32,Female,Tablet,1 Month
Standard,12,2022-07-12,United States,28,Female,Smartphone,1 Month
Premium,11,2022-07-16,Canada,27,Male,Laptop,1 Month
Basic,11,2022-07-20,United States,30,Female,Laptop,1 Month
Premium,14,2022-07-28,United States,47,Female,Laptop,1 Month
Basic,14,2022-07-31,Canada,49,Female,Tablet,1 Month
Standard,14,2022-08-14,United Kingdom,43,Female,Smartphone,1 Month
Standard,12,2022-08-16,Australia,42,Male,Tablet,1 Month
Basic,14,2022-08-18,Germany,29,Female,Smartphone,1 Month
Premium,15,2022-08-27,France,35,Female,Smartphone,1 Month
Basic,13,2022-09-01,Brazil,41,Female,Smartphone,1 Month
Standard,13,2022-09-03,Mexico,47,Female,Smart TV,1 Month
Premium,14,2022-09-07,Spain,28,Female,Smart TV,1 Month
Basic,10,2022-09-08,Italy,44,Female,Smartphone,1 Month
Premium,10,2022-09-14,Spain,28,Female,Tablet,1 Month
Basic,11,2022-09-15,Spain,51,Male,Laptop,1 Month
Standard,11,2022-09-27,United States,48,Male,Laptop,1 Month
Standard,14,2022-09-30,Canada,49,Female,Tablet,1 Month
Basic,10,2022-10-02,United States,50,Male,Smart TV,1 Month
Premium,13,2022-10-03,United States,43,Male,Laptop,1 Month
Basic,14,2022-10-05,Canada,32,Male,Smart TV,1 Month
Standard,15,2022-10-10,United Kingdom,42,Female,Tablet,1 Month
Premium,13,2022-10-11,Australia,41,Female,Laptop,1 Month
Basic,11,2022-10-13,Germany,31,Male,Laptop,1 Month
Premium,11,2022-10-14,France,37,Female,Smart TV,1 Month
Basic,12,2022-10-16,Brazil,46,Male,Smart TV,1 Month
Standard,14,2022-10-18,Mexico,30,Female,Tablet,1 Month
Standard,11,2022-10-22,Spain,30,Female,Smart TV,1 Month
Basic,10,2022-10-24,Italy,34,Female,Tablet,1 Month
Premium,15,2022-10-25,Spain,47,Female,Laptop,1 Month
Basic,14,2022-10-29,Spain,41,Male,Tablet,1 Month
Standard,13,2022-11-02,United States,42,Female,Laptop,1 Month
Premium,12,2022-11-03,Canada,48,Female,Smartphone,1 Month
Basic,11,2022-11-04,United States,30,Female,Smart TV,1 Month
Basic,13,2022-11-05,United States,51,Male,Smartphone,1 Month
Basic,13,2022-11-05,Canada,27,Male,Smartphone,1 Month
Standard,13,2022-10-31,United Kingdom,38,Male,Tablet,1 Month
Premium,12,2022-10-27,Australia,29,Female,Smart TV,1 Month
Basic,11,2022-10-25,Germany,40,Female,Smartphone,1 Month
Basic,12,2022-10-26,France,31,Female,Laptop,1 Month
Premium,11,2022-09-30,Brazil,30,Male,Smartphone,1 Month
Standard,13,2022-09-27,Mexico,44,Male,Laptop,1 Month
Standard,14,2022-09-12,Spain,34,Female,Tablet,1 Month
Basic,14,2022-08-25,Italy,28,Female,Laptop,1 Month
Premium,13,2022-08-25,Spain,41,Female,Laptop,1 Month
Standard,12,2022-08-22,Spain,43,Male,Tablet,1 Month
Basic,10,2022-08-17,United States,33,Male,Laptop,1 Month
